transaction_amount,transaction_time,distance_from_home_km,merchant_risk_score,device_trust_score,failed_attempts,previous_transactions,account_age_days,online_transaction,international_transaction,is_fraud
41.49,64643,45.94,0.129,0.833,1,13,391,0,0,0
27.51,21750,28.18,0.331,1.0,1,6,39,0,0,0
27.06,68670,12.08,0.239,0.754,0,5,1406,1,0,0
8.13,48809,4.07,0.296,1.0,1,10,213,1,0,0
12.4,69536,5.4,0.12,0.901,0,9,1279,1,0,0
35.48,59276,3.2,0.143,0.833,0,11,567,1,0,0
17.76,16173,4.36,0.107,0.775,1,7,1957,0,1,0
22.78,7670,13.73,0.244,0.709,0,8,615,0,0,0
24.94,75148,7.05,0.215,0.855,0,13,324,1,0,0
15.71,21280,53.98,0.187,0.884,0,12,1264,1,0,0
12.5,49274,81.06,0.231,0.675,0,10,709,0,0,0
7.46,51469,29.39,0.306,0.697,0,9,61,1,1,0
24.11,23257,41.36,0.339,0.706,0,7,536,1,0,0
44.47,41645,7.36,0.079,0.864,0,6,3086,1,0,0
7.28,67197,27.34,0.138,0.849,0,8,107,1,0,0
26.6,59264,1.49,0.395,0.572,0,5,1309,0,0,0
33.95,7482,80.61,0.187,0.936,1,8,151,1,0,0
12.28,19259,27.73,0.2,0.771,0,9,1671,0,0,0
84.58,60976,9.53,0.133,1.0,0,9,350,1,0,0
19.91,77628,37.07,0.265,0.545,0,6,297,0,0,0
25.0,63743,0.4,0.233,0.936,0,12,748,0,0,0
23.83,34931,11.8,0.083,0.783,0,6,785,0,0,0
6.58,19222,56.5,0.103,0.894,0,9,360,1,0,0
60.76,85380,7.64,0.178,0.599,0,11,232,0,0,0
12.62,40020,27.56,0.226,0.624,1,10,181,1,0,0
22.44,59263,11.16,0.447,0.699,0,7,221,1,0,0
43.73,79011,12.45,0.232,0.532,0,9,1203,1,0,0
87.25,11399,34.25,0.181,0.755,0,11,889,1,1,0
11.43,40693,60.26,0.244,0.7,0,7,2848,0,0,0
18.97,69544,4.56,0.282,0.935,1,7,1612,0,0,0
81.94,53753,8.1,0.184,0.802,0,8,78,0,1,0
39.29,1816,16.73,0.225,0.751,3,8,1047,1,0,0
46.38,73075,23.79,0.37,0.54,0,4,613,1,0,0
11.69,47337,15.77,0.191,0.73,0,11,591,1,0,0
20.02,64262,40.94,0.285,0.86,0,10,2589,0,0,0
23.71,81010,36.54,0.163,1.0,0,11,180,1,0,0
13.65,49340,12.99,0.205,0.665,1,9,611,0,1,0
7.1,50592,1.04,0.198,0.663,1,9,2264,1,0,0
18.02,33988,5.41,0.515,0.975,0,7,278,0,0,0
80.11,13947,16.68,0.389,0.846,0,11,69,1,0,0
28.43,63019,65.61,0.2,0.575,0,10,2763,1,0,0
81.4,10253,20.96,0.431,0.689,0,6,688,1,0,0
31.29,29638,18.9,0.352,0.718,0,9,641,0,0,0
14.71,15604,32.18,0.268,0.807,0,8,587,1,0,0
75.35,34483,4.13,0.256,0.767,0,9,192,1,0,0
32.13,81197,3.97,0.301,0.923,0,10,1189,1,0,0
58.53,14248,10.59,0.113,0.995,0,8,989,0,0,0
11.53,40577,131.73,0.079,0.649,0,7,1001,0,0,0
62.24,38878,52.18,0.117,0.406,0,7,164,0,0,0
63.76,82531,28.49,0.017,0.796,0,10,1357,1,0,0
34.19,76237,12.4,0.044,1.0,0,10,302,1,0,0
14.22,27501,20.22,0.192,0.642,0,7,944,1,0,0
26.13,2670,9.04,0.233,0.799,1,8,2413,0,0,0
44.21,61438,28.05,0.109,0.441,0,9,761,0,1,0
32.71,15135,13.57,0.165,0.796,0,6,96,1,0,0
43.85,50763,3.2,0.107,0.819,0,8,544,1,0,0
60.93,58060,6.05,0.202,0.716,0,7,641,1,0,0
16.14,45589,23.46,0.22,1.0,0,7,373,1,0,0
10.76,41641,29.65,0.126,0.633,0,10,451,0,0,0
26.31,77167,2.52,0.113,0.554,0,13,179,1,0,0
20.83,39932,41.3,0.055,0.953,1,10,494,1,0,0
50.84,81052,43.48,0.181,0.625,0,11,992,1,0,0
11.48,31453,32.1,0.422,1.0,0,6,382,0,1,0
61.33,46659,28.77,0.082,0.704,0,10,1629,1,0,0
80.07,37024,6.59,0.126,0.771,0,8,413,1,0,0
27.12,86189,63.03,0.353,0.692,1,9,600,0,0,0
28.46,81445,7.82,0.165,0.561,0,6,531,0,0,0
14.67,25935,5.04,0.43,0.626,0,9,71,1,1,0
17.56,67609,25.44,0.12,0.62,1,10,1081,1,0,0
396.42,28151,3.31,0.319,0.345,3,9,529,0,1,1
86.0,36138,67.59,0.158,0.771,0,8,1771,0,0,0
25.6,68020,15.42,0.175,0.783,0,12,422,0,0,0
9.41,39670,4.47,0.289,0.521,0,11,713,1,0,0
33.26,40173,78.97,0.356,0.565,1,11,70,1,0,0
52.51,27981,18.11,0.032,0.849,0,10,504,1,0,0
26.57,3384,18.27,0.227,0.663,1,6,587,1,0,0
87.83,60416,12.19,0.283,0.918,0,12,1234,0,0,0
50.5,82442,45.2,0.489,0.749,1,14,1002,1,0,0
11.71,18077,8.48,0.363,0.488,0,9,857,0,0,0
17.44,69719,0.35,0.314,0.576,0,18,841,1,0,0
32.49,80880,17.19,0.203,1.0,0,7,501,1,0,0
7.15,7495,65.05,0.071,0.9,0,12,223,1,0,0
35.48,65231,7.98,0.226,0.536,0,8,256,1,0,0
6.62,84256,7.74,0.366,0.896,1,5,988,0,0,0
61.48,55369,33.49,0.192,0.724,0,14,58,1,1,0
56.03,65272,37.35,0.305,0.965,0,6,839,1,0,0
40.6,30827,14.3,0.182,0.768,0,10,144,0,0,0
15.79,24067,44.84,0.226,0.602,1,8,302,0,0,0
31.07,83634,4.72,0.069,0.872,1,10,1696,1,0,0
17.98,13088,11.43,0.208,0.459,1,12,143,1,0,0
11.89,10976,12.95,0.38,0.832,1,5,470,1,1,0
20.68,68712,9.38,0.128,0.671,0,12,495,1,1,0
47.4,32125,6.14,0.142,0.697,0,7,1088,1,0,0
28.08,35666,10.32,0.118,0.53,0,7,326,1,0,0
86.54,28148,0.45,0.344,0.767,0,14,575,1,0,0
50.03,83184,30.38,0.193,0.696,0,10,37,0,0,0
45.92,72479,28.8,0.257,0.797,0,7,4139,1,1,0
7.48,6850,14.96,0.093,0.664,1,10,919,1,1,0
21.58,48332,9.75,0.199,0.596,0,12,520,1,1,0
11.57,31160,14.23,0.21,1.0,0,16,657,1,0,0
23.42,1554,68.93,0.251,0.976,0,8,546,1,0,0
15.57,56531,23.13,0.268,0.742,0,10,477,1,0,0
20.04,57396,32.86,0.133,0.885,0,9,1066,1,0,0
63.37,60926,6.52,0.215,0.511,0,15,276,0,0,0
39.65,66207,2.49,0.187,1.0,1,11,291,1,0,0
60.68,61448,2.17,0.087,0.847,1,11,59,1,0,0
7.53,78048,15.97,0.093,0.921,0,11,727,1,0,0
28.4,43437,31.53,0.058,0.707,0,10,209,0,0,0
58.75,34219,37.19,0.592,0.876,0,12,1286,0,0,0
90.47,70773,31.86,0.394,0.64,0,5,157,1,1,0
7.86,56190,60.98,0.06,0.98,0,7,136,0,0,0
20.47,55195,1.34,0.23,0.829,0,18,424,1,0,0
62.02,26596,48.33,0.251,0.587,0,8,390,1,0,0
23.25,23522,27.02,0.054,0.463,0,7,240,1,0,0
13.09,43085,4.83,0.093,0.661,0,7,901,0,0,0
7.85,25751,28.67,0.063,0.725,1,6,767,1,1,0
12.69,9474,17.92,0.072,0.912,0,11,338,1,0,0
7.02,534,11.12,0.081,0.766,0,8,2379,1,0,0
28.41,12040,7.12,0.012,0.358,0,6,444,1,0,0
55.54,40529,15.6,0.241,0.869,0,11,2021,1,0,0
9.89,4666,6.83,0.227,1.0,0,10,1635,1,0,0
33.32,37441,2.16,0.259,0.96,0,12,1584,1,0,0
